,src,tgt,lomar,pvalue
0,bible,grass,0.34299999999999997,1.0
1,religint,religcon,0.33946341982797,4.0757454286670695e-153
2,bible,religcon,0.1131,1.0
3,libcom,libhomo,0.445,1.0
4,colcom,spkcom,0.14100000000000001,1.0
5,libcom,spkcom,0.5,1.0
6,spkmil,libmil,0.356,1.0
7,libmslm,libmil,0.0645,1.0
8,colmil,libmil,0.14400000000000002,1.0
9,libcom,libmil,0.5,1.0
10,shotgun,owngun,0.9832310810334588,0.0
11,abrape,abhlth,0.09068739755417404,0.0
12,abdefect,abhlth,0.07425261442089766,0.0
13,religcon,religint,0.283082935769918,0.0
14,abhlth,abrape,0.000916340230013047,0.3211963428155102
15,abdefect,abrape,0.0928752713051097,0.0
16,abany,abrape,0.05332071213085637,0.0
17,abpoor,abpoorw,-0.15083333333333404,0.0
18,libmil,spkmil,0.20700000000000002,1.0
19,colmil,spkmil,0.5,1.0
20,abnomore,abpoor,0.3990303580302661,0.0
21,absingle,abpoor,0.4418714501784703,0.0
22,abhlth,abdefect,0.017826054155250303,3.326327892677516e-146
23,abrape,abdefect,0.05611242238370748,2.966942773952605e-194
24,abany,abdefect,0.05560225030630049,5.126138482329403e-246
25,abpoor,abnomore,0.40788604032291437,0.0
26,abdefect,abnomore,0.0017315206851813863,0.01066678963181732
27,absingle,abnomore,0.0073679023998261236,2.9094426383007736e-20
28,abany,abnomore,0.3594608486142727,0.0
29,spkcom,colcom,0.49949999999999994,1.0
30,colmil,colcom,0.34099999999999997,1.0
31,libcom,colcom,0.1585,1.0
32,libcom,libmslm,0.263,1.0
33,rowngun,shotgun,0.016971479993863822,5.166675162417398e-72
34,owngun,shotgun,0.32926501144070947,7.950083245229291e-230
35,reliten,bible,-0.7500000000000026,0.0
36,pray,bible,0.41250000000000003,1.0
37,abpoor,absingle,0.43894597448805983,0.0
38,abnomore,absingle,0.41063247382507156,0.0
39,abany,absingle,0.023840596352657565,5.3075955892894386e-154
40,pray,godchnge,0.27649999999999997,1.0
41,bible,prayer,0.5005,1.0
42,pray,prayfreq,0.5,1.0
43,libmil,colmil,0.1415,1.0
44,spkmil,colmil,0.49949999999999994,1.0
45,colcom,colmil,0.0825,1.0
46,owngun,gunlaw,0.26714285714285857,0.0
47,abnomore,abany,0.23976233854826215,0.0
48,absingle,abany,0.3909817476087471,0.0
49,pray,abany,0.11814,1.0
50,reliten,pray,-0.1449999999999989,0.0
51,bible,prayer,0.5005,1.0
52,prayfreq,pray,0.39149999999999996,1.0
53,spkcom,libcom,0.49949999999999994,1.0
54,libmil,libcom,0.34299999999999997,1.0
55,colcom,libcom,0.085,1.0
56,libmslm,libcom,0.2975,1.0
