,abany,abdefctw,abdefect,abhlth,abnomore,abpoor,abpoorw,abrape,absingle,bible,colcom,colmil,comfort,conlabor,godchnge,grass,gunlaw,intmil,libcom,libmil,libhomo,libmslm,maboygrl,owngun,pillok,pilloky,polabuse,pray,prayer,prayfreq,religcon,religint,reliten,rowngun,shotgun,spkcom,spkmil,taxrich,viruses,wrkslf,wrkgovt,marital,martype,divorce,widowed,age,agekdbrn,educ,degree,dipged,sex,famdif16,incom16,born,granborn,preteen,income,income16,partyid,vote16,pres16,if16who,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,natspacy,natenviy,nathealy,natcityy,natcrimy,natdrugy,nateducy,natracey,natarmsy,nataidy,natfarey,eqwlth,tax,spkath,colath,libath,spkrac,colrac,librac,spkhomo,colhomo,spkmslm,colmslm,cappun,relig,denom,other,jew,fund,attend,popespks,fund16,sprel,corel,raclive,affrmact,wrkwayup,happy,hapmar,hapcohab,health,life,confinan,conbus,conclerg,coneduc,confed,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,obey,popular,thnkself,workhard,helpoth,socrel,socommun,socfrend,socbar,joblose,jobfind,satjob,richwork,class,rank,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,union,union1,parsol,chldidel,sexeduc,premarsx,teensex,xmarsex,homosex,pornlaw,xmovie,spanking,letdie1,suicide1,suicide2,suicide3,suicide4,polhitok,polmurdr,polescap,polattak,fear,pistol,rifle,hunt,hunt1,news,tvhours,form,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,helppoor,helpnot,helpsick,helpblk,god,reborn,savesoul,wlthwhts,wlthblks,wlthhsps,workwhts,workblks,workhsps,intlwhts,intlblks,intlhsps,liveblks,marblk,marasian,marhisp,marwht,racwork,discaff,yousup,spwksup,fejobaff,discaffm,fehire,relpersn,sprtprsn,compuse,webmob,emailmin,emailhr,usewww,wwwhr,wwwmin,disrspct,poorserv,notsmart,afraidof,threaten,quallife,hlthphys,hlthmntl,satsoc,actssoc,physacts,emoprobs,fatigue,wrkslffam,nextgen,toofast,advfront,scibnfts,balpos,balneg,inteduc,intsci,intecon,inttech,scientgo,scienthe,scientbe,posslq,posslqy,marcohab,endsmeet,opwlth,oppared,opeduc,ophrdwrk,opknow,opclout,oprace,oprelig,opsex,goodlife,paydoc,payclerk,payexec,payunskl,paycabnt,givdoc,givclerk,givexec,givunskl,givcabnt,incgap,goveqinc,govunemp,taxshare,conwlth,conclass,conunion,conage,ldcgap,ldctax,richhlth,richeduc,payresp,payedtrn,paychild,paydowel,soctype1,soctype2,marhomo,meovrwrk,relactiv,cantrust,religinf,privent,postmat1,postmat2,scigrn,grnecon,harmsgrn,grnprog,grwthelp,grwtharm,grnprice,grntaxes,grnsol,toodifme,ihlpgrn,carsgen,recycle,grngroup,grnsign,grnmoney,grndemo,impgrn,othssame,grnexagg,topprob1,topprob2,trust5,grncon,enprbus,helpharm,grneffme,tempgen1,busgrn,peopgrn,nobuygrn,imports,powrorgs,letin1a,partners,matesex,frndsex,acqntsex,pikupsex,paidsex,othersex,sexsex,sexfreq,numwomen,nummen,partnrs5,sexsex5,evpaidsx,evstray,condom,relatsex,evidu,idu30,evcrack,crack30,hivtest,hivtest1,sexornt,realinc,coninc,hispanic,vetyears,dwelown,cohort,marcohrt,zodiac,mode,letdie1y,ballot,version,issp,formwt,oversamp,spanself,spanint,vstrat,vpsu,wrkgovt1,wrkgovt2,spkathy,libathy,spkracy,libracy,spkcomy,colcomy,libcomy,spkmily,libmily,spkhomoy,libhomoy,spkmslmy,libmslmy,polhitoky,polabusey,polattaky,raceacs1,raceacs2,raceacs3,raceacs4,raceacs5,raceacs6,raceacs7,raceacs8,raceacs9,raceacs10,raceacs11,raceacs12,raceacs13,raceacs14,raceacs15,raceacs16,abdefectg,abnomoreg,abhlthg,abpoorg,abrapeg,absingleg,suicide1g,suicide2g,suicide3g,suicide4g,sexbirth1,sexnow1,goveqinc1,immlimit,trresrch,trmedia,trbusind,trlegis,clmtcaus,clmtwrld,clmtusa,naturdev,indusgen1,chemgen1,watergen1,genegen1,nukegen1,enjoynat,activnat,planetrp,carhr,eatmeat,numrooms,airpollu,wtrpollu,exweathr,opbribes,mkt1,respineq,govineq1,govineq2,ineqmad,migrpoor,conimm,rank1,rank16,rank10fut,fairdist,contpoor,contrich,endsme12,skipmeal,class1,ratepain1,norelgsp,evangclx,evangcly,religimp,relidimp,relidesc,relidwe,relidins,biblauth,evngelze,sinsacri,chrstsav,sprtconnct,sprtlrgr,sprtpurp,mditate1,grtwrks,freemind,decevidc,advfmsci,prochoic,prolife,godusa,govchrst,buseqinc,trdunio1,boardrep,upwages,limitpay,prftimpv,govfnanc,dclindus,govfnaid,lgincdif,hivafraid,hivimmrl,hivdscrm,ptnrornt,ptnrsxbrth,ptnrsxnow,poltrtblk,poltrtblky,poltrtb1,poltrtb1y,poltrtb2,poltrtb2y,poltrthsp,poltrthspy,poltrtb3,poltrtb3y,poltrtb4,poltrtb4y,defund,strvbias,strvbiasy,racesurv17,conpharvac,conpharvacy,confedvac,confedvacy,fileversion,wtssps,wtssnrps,uswaryv,prayerv,courtsv,discaffwv,racopenv,getaheadv,divlawv,helpfulv,fairv,trustv,agedv,grassv,relitenv,biblev,postlifev,kidssolv,uscitznv,fucitznv,fepolv,scibnftsv,uswarynv,prayernv,courtsnv,discaffwnv,racopennv,getaheadnv,divlawnv,helpfulnv,fairnv,trustnv,agednv,grassnv,relitennv,biblenv,postlifenv,kidssolnv,uscitznnv,fucitznnv,fepolnv,scibnftsnv,abanyg
R,no,always wrong,no,no,no,no,always wrong,no,no,inspired word,fired,not fired,strongly agree,hardly any,"believe now, always have",not legal,oppose,very interested,remove,not remove,remove,remove,true,yes,strongly disagree,strongly disagree,no,several times a day,disapprove,several times a day,strongly disagree,strongly disagree,strong,yes,yes,not allowed,allowed,about right,definitely true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,yes,not wrong at all,yes,yes,yes,yes,not wrong at all,yes,yes,book of fables,not fired,not allowed,strongly disagree,a great deal,"don't believe now, never have",legal,favor,not at all interested,not remove,remove,not remove,not remove,false,no,strongly agree,strongly agree,yes,never,approve,never,strongly agree,strongly agree,no religion,no,no,allowed,not allowed,much too low,definitely not true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
